id,sex,context,vowel,length,n_speakers,raw_tokens,duration_mean_ms,duration_sd_speaker_means_ms,F1_midpoint_hz,F2_midpoint_hz,F3_midpoint_hz,F1_sd_speaker_means_hz,F2_sd_speaker_means_hz,F3_sd_speaker_means_hz,F1_at_20pct_hz,F2_at_20pct_hz,F3_at_20pct_hz,F1_at_80pct_hz,F2_at_80pct_hz,F3_at_80pct_hz,delta_F1_20_to_80_hz,delta_F2_20_to_80_hz,delta_F3_20_to_80_hz
ja_yk2019_male_isolated_short_i,male,isolated_word,i,short,8,80,72.253,8.006,299.376,2184.354,2976.164,34.207,183.106,131.348,289.217,2149.082,3019.892,287.018,2170.956,2853.545,-2.199,21.874,-166.347
ja_yk2019_male_isolated_long_i,male,isolated_word,i,long,8,80,152.665,10.877,303.336,2307.356,3073.363,45.311,220.046,152.31,296.036,2241.791,3097.797,300.888,2317.927,2999.612,4.852,76.136,-98.185
ja_yk2019_male_isolated_short_e,male,isolated_word,e,short,8,80,80.17,9.96,450.423,1968.139,2615.309,47.181,146.017,128.334,427.713,1962.843,2639.544,411.698,1932.592,2602.647,-16.015,-30.251,-36.897
ja_yk2019_male_isolated_long_e,male,isolated_word,e,long,8,80,164.398,19.943,463.954,2053.057,2693.283,36.466,161.421,133.035,437.21,2031.8,2691.148,452.941,2018.311,2670.811,15.731,-13.489,-20.337
ja_yk2019_male_isolated_short_a,male,isolated_word,a,short,8,80,81.717,8.582,704.009,1289.195,2602.392,76.718,87.0,217.611,664.288,1326.829,2555.674,636.877,1313.457,2618.392,-27.411,-13.372,62.718
ja_yk2019_male_isolated_long_a,male,isolated_word,a,long,8,80,173.685,19.253,750.869,1240.637,2664.702,80.366,86.63,236.566,713.247,1304.393,2614.627,700.986,1274.348,2664.242,-12.261,-30.045,49.615
ja_yk2019_male_isolated_short_o,male,isolated_word,o,short,8,80,76.859,5.686,467.285,938.661,2545.13,45.857,57.762,192.378,449.968,967.191,2499.764,452.911,980.712,2572.088,2.943,13.521,72.324
ja_yk2019_male_isolated_long_o,male,isolated_word,o,long,8,80,159.173,16.661,458.133,798.883,2633.902,42.06,71.896,257.083,450.125,879.882,2536.381,455.261,887.87,2606.276,5.136,7.988,69.895
ja_yk2019_male_isolated_short_u,male,isolated_word,u,short,8,80,71.81,5.904,348.201,1467.766,2335.121,29.063,69.767,131.567,331.36,1467.58,2312.489,330.796,1466.998,2390.8,-0.564,-0.582,78.311
ja_yk2019_male_isolated_long_u,male,isolated_word,u,long,8,80,155.917,15.805,350.091,1459.009,2314.543,42.58,111.558,129.361,335.265,1491.312,2301.945,350.385,1489.586,2340.512,15.12,-1.726,38.567
ja_yk2019_male_embedded_short_i,male,carrier_sentence,i,short,8,80,63.232,5.568,303.249,2124.131,2881.676,38.495,176.293,141.153,295.117,2114.781,2906.405,292.567,2101.132,2785.058,-2.55,-13.649,-121.347
ja_yk2019_male_embedded_long_i,male,carrier_sentence,i,long,8,80,141.53,14.618,309.49,2278.19,3074.012,50.781,198.821,166.464,297.99,2229.776,3064.241,309.915,2282.748,2958.454,11.925,52.972,-105.787
ja_yk2019_male_embedded_short_e,male,carrier_sentence,e,short,8,80,72.236,6.831,434.804,1926.666,2606.396,41.253,126.181,132.677,413.268,1910.773,2602.285,406.169,1892.584,2585.684,-7.099,-18.189,-16.601
ja_yk2019_male_embedded_long_e,male,carrier_sentence,e,long,8,80,148.382,19.238,455.826,2032.133,2673.252,38.091,147.802,140.091,432.306,2005.246,2658.771,439.517,2003.627,2661.462,7.211,-1.619,2.691
ja_yk2019_male_embedded_short_a,male,carrier_sentence,a,short,8,80,74.422,8.869,670.095,1276.928,2607.817,62.971,101.513,196.798,644.23,1268.017,2593.961,588.93,1300.105,2611.408,-55.3,32.088,17.447
ja_yk2019_male_embedded_long_a,male,carrier_sentence,a,long,8,80,157.951,17.16,736.702,1232.937,2656.86,77.928,81.812,217.192,697.173,1268.947,2631.625,684.101,1280.666,2641.728,-13.072,11.719,10.103
ja_yk2019_male_embedded_short_o,male,carrier_sentence,o,short,8,80,70.597,5.365,455.826,959.145,2542.828,49.141,68.293,180.505,444.494,956.053,2522.327,428.842,997.838,2548.893,-15.652,41.785,26.566
ja_yk2019_male_embedded_long_o,male,carrier_sentence,o,long,8,80,147.455,19.486,451.822,827.303,2622.635,35.912,71.62,228.083,446.026,865.023,2556.758,448.226,911.432,2604.295,2.2,46.409,47.537
ja_yk2019_male_embedded_short_u,male,carrier_sentence,u,short,8,80,63.736,5.118,348.411,1401.349,2374.316,33.962,61.662,125.391,334.801,1388.008,2340.602,327.993,1406.455,2394.126,-6.808,18.447,53.524
ja_yk2019_male_embedded_long_u,male,carrier_sentence,u,long,8,80,143.424,18.515,354.5,1425.031,2325.788,46.586,121.685,134.897,339.611,1428.706,2317.057,353.692,1450.672,2370.928,14.081,21.966,53.871
ja_yk2019_female_isolated_short_i,female,isolated_word,i,short,8,80,66.901,5.882,343.045,2688.829,3374.264,49.905,200.608,213.418,338.232,2664.085,3430.524,325.761,2652.971,3282.941,-12.471,-11.114,-147.583
ja_yk2019_female_isolated_long_i,female,isolated_word,i,long,8,80,157.314,17.605,350.463,2825.894,3472.452,46.899,186.653,215.442,341.91,2770.66,3510.461,349.666,2791.155,3395.156,7.756,20.495,-115.305
ja_yk2019_female_isolated_short_e,female,isolated_word,e,short,8,80,74.13,6.52,520.776,2339.309,3126.002,70.196,172.971,234.248,493.067,2339.647,3118.751,464.084,2290.714,3092.143,-28.983,-48.933,-26.608
ja_yk2019_female_isolated_long_e,female,isolated_word,e,long,8,80,172.907,19.631,556.688,2379.342,3146.247,80.446,170.62,223.926,522.141,2419.21,3156.62,530.214,2334.726,3125.835,8.073,-84.484,-30.785
ja_yk2019_female_isolated_short_a,female,isolated_word,a,short,8,80,77.533,6.029,830.756,1537.715,2869.833,54.549,91.721,324.709,799.402,1556.301,2894.033,743.213,1563.17,2979.313,-56.189,6.869,85.28
ja_yk2019_female_isolated_long_a,female,isolated_word,a,long,8,80,178.175,25.215,898.567,1474.734,3007.605,62.231,108.618,324.491,857.101,1538.59,2950.495,821.034,1535.488,3060.001,-36.067,-3.102,109.506
ja_yk2019_female_isolated_short_o,female,isolated_word,o,short,8,80,73.184,9.758,528.449,1114.012,2927.298,68.808,105.972,351.616,512.307,1133.133,2860.179,474.27,1184.22,2967.789,-38.037,51.087,107.61
ja_yk2019_female_isolated_long_o,female,isolated_word,o,long,8,80,164.839,19.576,536.48,991.449,3031.996,69.549,102.709,368.204,533.033,1067.948,2909.526,521.502,1079.576,3060.948,-11.531,11.628,151.422
ja_yk2019_female_isolated_short_u,female,isolated_word,u,short,8,80,66.087,7.194,433.016,1682.217,2863.551,60.184,134.042,284.785,414.155,1679.829,2846.895,404.787,1702.474,2912.746,-9.368,22.645,65.851
ja_yk2019_female_isolated_long_u,female,isolated_word,u,long,8,80,159.215,20.82,453.741,1683.216,2863.085,68.044,111.499,313.339,433.481,1693.445,2848.731,435.754,1699.765,2885.74,2.273,6.32,37.009
ja_yk2019_female_embedded_short_i,female,carrier_sentence,i,short,8,80,60.378,5.739,349.059,2589.925,3312.568,53.873,200.216,182.954,339.565,2587.3,3336.477,335.619,2544.382,3197.495,-3.946,-42.918,-138.982
ja_yk2019_female_embedded_long_i,female,carrier_sentence,i,long,8,80,147.955,20.982,358.846,2761.745,3428.277,47.04,184.874,268.044,344.703,2731.371,3468.621,367.881,2706.512,3325.507,23.178,-24.859,-143.114
ja_yk2019_female_embedded_short_e,female,carrier_sentence,e,short,8,80,68.098,6.708,511.966,2264.522,3050.597,65.654,180.439,237.75,481.882,2265.351,3035.248,466.237,2189.536,3020.442,-15.645,-75.815,-14.806
ja_yk2019_female_embedded_long_e,female,carrier_sentence,e,long,8,80,159.757,19.721,553.849,2376.696,3089.977,90.771,185.614,264.855,510.873,2363.106,3086.797,527.301,2311.113,3091.824,16.428,-51.993,5.027
ja_yk2019_female_embedded_short_a,female,carrier_sentence,a,short,8,80,67.675,5.263,770.446,1522.986,2914.778,59.667,97.072,289.759,743.207,1509.055,2911.318,679.976,1542.001,2946.026,-63.231,32.946,34.708
ja_yk2019_female_embedded_long_a,female,carrier_sentence,a,long,8,80,163.526,25.265,878.528,1474.213,2974.304,69.729,108.334,307.037,823.988,1498.839,2971.239,806.439,1538.081,3034.584,-17.549,39.242,63.345
ja_yk2019_female_embedded_short_o,female,carrier_sentence,o,short,8,80,66.438,6.531,524.008,1140.788,2927.125,60.719,99.952,322.882,502.706,1128.447,2899.533,475.14,1186.372,2945.755,-27.566,57.925,46.222
ja_yk2019_female_embedded_long_o,female,carrier_sentence,o,long,8,80,153.652,20.545,534.469,1001.114,3004.923,69.982,92.936,355.305,512.521,1052.252,2934.236,526.171,1115.547,3031.731,13.65,63.295,97.495
ja_yk2019_female_embedded_short_u,female,carrier_sentence,u,short,8,80,60.232,4.785,435.962,1606.914,2850.154,47.843,123.772,271.581,421.466,1583.505,2838.354,403.044,1626.969,2892.002,-18.422,43.464,53.648
ja_yk2019_female_embedded_long_u,female,carrier_sentence,u,long,8,80,149.237,19.331,463.422,1622.538,2849.102,67.071,89.84,290.109,435.372,1618.825,2823.556,453.149,1669.26,2863.411,17.777,50.435,39.855
